level_0,index,Date,Name,Points,FormatLat,IsBBOX,LatVec,LonVec
37,777,08/16/2019,"Annual Average Daily Vehicle Counts / Keweenaw County, Michigan, United States / 2014","Points:(47.286739--88.51026),(47.286396--88.298757),(47.217831--88.164655),(47.475232--87.852639),(47.44882--88.216389)","(47.286739,-88.51026)|(47.286396,-88.298757)|(47.217831,-88.164655)|(47.475232,-87.852639)|(47.44882,-88.216389)",False,"47.286739, 47.286396, 47.217831, 47.475232, 47.44882","-88.51026, -88.298757, -88.164655, -87.852639, -88.216389"
41,782,08/16/2019,"Annual Average Daily Vehicle Counts / Marquette County, Michigan, United States / 2014","Points:(46.767262--88.043082),(46.24751--88.116689),(45.987361--87.61565),(45.986445--87.243849),(46.493904--87.118458)","(46.767262,-88.043082)|(46.24751,-88.116689)|(45.987361,-87.61565)|(45.986445,-87.243849)|(46.493904,-87.118458)",False,"46.767262, 46.24751, 45.987361, 45.986445, 46.493904","-88.043082, -88.116689, -87.61565, -87.243849, -87.118458"
42,1001,06/29/2019,"Vehicle Counts / Statewide New York, United States / 2014","Points:(40.4244413--74.1215801),(42.4084388--81.4347839),(45.0829755--75.5033684),(45.0566676--71.3713074),(40.9236303--71.5922356)","(40.4244413,-74.1215801)|(42.4084388,-81.4347839)|(45.0829755,-75.5033684)|(45.0566676,-71.3713074)|(40.9236303,-71.5922356)",False,"40.4244413, 42.4084388, 45.0829755, 45.0566676, 40.9236303","-74.1215801, -81.4347839, -75.5033684, -71.3713074, -71.5922356"
45,1079,06/12/2019,"Annual Average Daily Vehicle Counts / Saginaw County, Michigan, United States / 2015","Points:(43.482005--84.3677),(43.568634--84.051843),(43.357321--83.698907),(43.134246--83.930994),(43.132242--84.3677)","(43.482005,-84.3677)|(43.568634,-84.051843)|(43.357321,-83.698907)|(43.134246,-83.930994)|(43.132242,-84.3677)",False,"43.482005, 43.568634, 43.357321, 43.134246, 43.132242","-84.3677, -84.051843, -83.698907, -83.930994, -84.3677"
49,1103,06/10/2019,"Annual Average Daily Vehicle Counts / Detroit, Michigan, United States / 2014","Points:(42.442885--83.287356),(42.449979--82.94266),(42.352626--82.924807),(42.25563--83.161013),(42.406898--83.285983)","(42.442885,-83.287356)|(42.449979,-82.94266)|(42.352626,-82.924807)|(42.25563,-83.161013)|(42.406898,-83.285983)",False,"42.442885, 42.449979, 42.352626, 42.25563, 42.406898","-83.287356, -82.94266, -82.924807, -83.161013, -83.285983"
50,1104,06/10/2019,"Annual Average Daily Vehicle Counts / Grands Rapids, Michigan, United States / 2014","Points:(42.973421--85.751071),(43.028911--85.648761),(42.94151--85.580097),(42.883678--85.606876),(42.93774--85.724292)","(42.973421,-85.751071)|(43.028911,-85.648761)|(42.94151,-85.580097)|(42.883678,-85.606876)|(42.93774,-85.724292)",False,"42.973421, 43.028911, 42.94151, 42.883678, 42.93774","-85.751071, -85.648761, -85.580097, -85.606876, -85.724292"
51,1107,06/09/2019,"Annual Average Daily Vehicle Counts / Ottawa County, Michigan, United States / 2014","Points:(43.060412--87.062403),(43.206051--85.789977),(42.769614--85.783274),(42.767731--86.209115),(42.826449--87.061806)","(43.060412,-87.062403)|(43.206051,-85.789977)|(42.769614,-85.783274)|(42.767731,-86.209115)|(42.826449,-87.061806)",False,"43.060412, 43.206051, 42.769614, 42.767731, 42.826449","-87.062403, -85.789977, -85.783274, -86.209115, -87.061806"
53,1110,06/04/2019,"Annual Average Daily Vehicle Counts / Macomb County, Michigan, United States / 2015","Points:(42.888413--83.102552),(42.686596--82.706701),(42.564583--82.782919),(42.451189--82.870644),(42.447642--83.08359)","(42.888413,-83.102552)|(42.686596,-82.706701)|(42.564583,-82.782919)|(42.451189,-82.870644)|(42.447642,-83.08359)",False,"42.888413, 42.686596, 42.564583, 42.451189, 42.447642","-83.102552, -82.706701, -82.782919, -82.870644, -83.08359"
57,1114,06/04/2019,"Annual Average Daily Vehicle Counts / Wayne County, Michigan, United States / 2015","Points:(42.434563--83.550542),(42.444698--83.203786),(42.450778--82.870763),(42.086459--83.538869),(42.02987--83.144734)","(42.434563,-83.550542)|(42.444698,-83.203786)|(42.450778,-82.870763)|(42.086459,-83.538869)|(42.02987,-83.144734)",False,"42.434563, 42.444698, 42.450778, 42.086459, 42.02987","-83.550542, -83.203786, -82.870763, -83.538869, -83.144734"
61,1125,06/03/2019,"Annual Average Daily Vehicle Counts / Genesee County, Michigan, United States / 2018","Points:(43.220127--83.932019),(43.222651--83.461129),(42.876465--83.453671),(42.784093--83.68699),(42.781142--83.922416)","(43.220127,-83.932019)|(43.222651,-83.461129)|(42.876465,-83.453671)|(42.784093,-83.68699)|(42.781142,-83.922416)",False,"43.220127, 43.222651, 42.876465, 42.784093, 42.781142","-83.932019, -83.461129, -83.453671, -83.68699, -83.922416"
68,1190,05/12/2019,"Gamma Radiation / Miami, Florida, United States / 2014","Points:(25.762805--80.327469),(25.758612--80.263678),(25.697594--80.261505),(25.753705--80.129984),(25.866683--80.173526)","(25.762805,-80.327469)|(25.758612,-80.263678)|(25.697594,-80.261505)|(25.753705,-80.129984)|(25.866683,-80.173526)",False,"25.762805, 25.758612, 25.697594, 25.753705, 25.866683","-80.327469, -80.263678, -80.261505, -80.129984, -80.173526"
73,1220,04/25/2019,"Gamma Radiation / Denver, Colorado, United States / 2014","Points:(39.796406--105.098932),(39.611631--105.114428),(39.617366--104.85054),(39.92849--104.490063),(39.928932--104.731872)","(39.796406,-105.098932)|(39.611631,-105.114428)|(39.617366,-104.85054)|(39.92849,-104.490063)|(39.928932,-104.731872)",False,"39.796406, 39.611631, 39.617366, 39.92849, 39.928932","-105.098932, -105.114428, -104.85054, -104.490063, -104.731872"
78,1451,12/21/2018,"Magnetic Contour Lines / Seminoe Mountains, Carbon County, Wyoming, United States / 1962","Points:(-107.25-42.38),(-106.75-42.38),(-106.75-45.12),(-107.25-42.12),(-107.25-42.38)","(-107.25,42.38)|(-106.75,42.38)|(-106.75,45.12)|(-107.25,42.12)|(-107.25,42.38)",False,"-107.25, -106.75, -106.75, -107.25, -107.25","42.38, 42.38, 45.12, 42.12, 42.38"
79,1452,12/21/2018,"Magnetic Contour Lines / Arminto, Wyoming, United States / 1978","Points:(-106.25-44.08),(-105.89-44.09),(-105.89-43.82),(-106.25-43.82),(-106.25-44.08)","(-106.25,44.08)|(-105.89,44.09)|(-105.89,43.82)|(-106.25,43.82)|(-106.25,44.08)",False,"-106.25, -105.89, -105.89, -106.25, -106.25","44.08, 44.09, 43.82, 43.82, 44.08"
80,1535,11/21/2018,"Annual Average Daily Vehicle Counts / Statewide Idaho, United States / 2016","Points:(48.997748--117.030023),(49.000717--116.049289),(45.561665--114.456132),(42.001976--111.047326),(42.000264--117.026177)","(48.997748,-117.030023)|(49.000717,-116.049289)|(45.561665,-114.456132)|(42.001976,-111.047326)|(42.000264,-117.026177)",False,"48.997748, 49.000717, 45.561665, 42.001976, 42.000264","-117.030023, -116.049289, -114.456132, -111.047326, -117.026177"
99,1554,11/17/2018,"Intersection Vehicle Counts / Anchorage, Alaska, United States / 2016","Points:(61.4858--149.2591),(60.8435--148.4714),(61.4203--148.4606),(60.663--148.8634),(61.1675--150.2364)","(61.4858,-149.2591)|(60.8435,-148.4714)|(61.4203,-148.4606)|(60.663,-148.8634)|(61.1675,-150.2364)",False,"61.4858, 60.8435, 61.4203, 60.663, 61.1675","-149.2591, -148.4714, -148.4606, -148.8634, -150.2364"
101,1598,11/12/2018,"Vehicle Counts / Southbound I-405, Portland, Oregon, United States / 2017","Points:(45.5055--122.6822),(45.5126--122.69),(45.5344--122.6875),(45.5448--122.6736),(45.5043--122.6755)","(45.5055,-122.6822)|(45.5126,-122.69)|(45.5344,-122.6875)|(45.5448,-122.6736)|(45.5043,-122.6755)",False,"45.5055, 45.5126, 45.5344, 45.5448, 45.5043","-122.6822, -122.69, -122.6875, -122.6736, -122.6755"
103,1600,11/10/2018,"Vehicle Counts / Washington County, Oregon, United States / 2016","Points:(44.5185--122.7398),(45.7811--122.9176),(45.7762--123.497),(45.4347--123.4923),(45.4347--122.7434)","(44.5185,-122.7398)|(45.7811,-122.9176)|(45.7762,-123.497)|(45.4347,-123.4923)|(45.4347,-122.7434)",False,"44.5185, 45.7811, 45.7762, 45.4347, 45.4347","-122.7398, -122.9176, -123.497, -123.4923, -122.7434"
116,1614,09/19/2018,"Air Temperature / Chicago Park District, Illinois, United States / 2015","Points:(41.7845--87.5715),(41.7147--87.5274),(41.9691--87.638),(41.8943--87.613),(41.9877--87.651)","(41.7845,-87.5715)|(41.7147,-87.5274)|(41.9691,-87.638)|(41.8943,-87.613)|(41.9877,-87.651)",False,"41.7845, 41.7147, 41.9691, 41.8943, 41.9877","-87.5715, -87.5274, -87.638, -87.613, -87.651"
161,1659,09/13/2018,"Rental Bicycle Trips / Los Angeles, California, United States / 2016","Points:(33.7721--118.1665),(34.1602--118.1194),(34.3071--118.4026),(34.0433--118.6052),(33.0433--118.3847)","(33.7721,-118.1665)|(34.1602,-118.1194)|(34.3071,-118.4026)|(34.0433,-118.6052)|(33.0433,-118.3847)",False,"33.7721, 34.1602, 34.3071, 34.0433, 33.0433","-118.1665, -118.1194, -118.4026, -118.6052, -118.3847"
163,1661,09/09/2018,"Energy Use / Southern California, United States / 2014","Points:(33.2429--117.4165),(34.3929--114.3183),(37.2606--116.9551),(35.2407--120.7344),(34.6464--120.6684)","(33.2429,-117.4165)|(34.3929,-114.3183)|(37.2606,-116.9551)|(35.2407,-120.7344)|(34.6464,-120.6684)",False,"33.2429, 34.3929, 37.2606, 35.2407, 34.6464","-117.4165, -114.3183, -116.9551, -120.7344, -120.6684"
168,1724,08/16/2018,"Average Weekday Traffic Volume / Mesa, Arizona, United States / 2014","Points:(33.4339--111.8802),(33.4689--111.6482),(33.3279--111.6365),(33.321--111.8137),(33.3606--111.8288)","(33.4339,-111.8802)|(33.4689,-111.6482)|(33.3279,-111.6365)|(33.321,-111.8137)|(33.3606,-111.8288)",False,"33.4339, 33.4689, 33.3279, 33.321, 33.3606","-111.8802, -111.6482, -111.6365, -111.8137, -111.8288"
173,1748,08/11/2018,"Bicycle Rental Trips  / Naperville, Illinois, United States / 2016","Points:(42.0929--87.9914),(42.0725--87.7194),(41.7024--87.3624),(41.3961--87.7661),(42.0969--88.0105)","(42.0929,-87.9914)|(42.0725,-87.7194)|(41.7024,-87.3624)|(41.3961,-87.7661)|(42.0969,-88.0105)",False,"42.0929, 42.0725, 41.7024, 41.3961, 42.0969","-87.9914, -87.7194, -87.3624, -87.7661, -88.0105"
174,1769,08/08/2018,"Solid Waste  / Evanston, Illinois, United States / 2011","Points:(42.0817--87.7637),(42.0791--87.6772),(42.09827--87.649),(41.9878--87.7582)","(42.0817,-87.7637)|(42.0791,-87.6772)|(42.09827,-87.649)|(41.9878,-87.7582)",False,"42.0817, 42.0791, 42.09827, 41.9878","-87.7637, -87.6772, -87.649, -87.7582"
191,1874,07/26/2018,"Dissolved Oxygen / Sebastian,  Florida, United States / 2017 ","Points:(27.8934--80.5076),(27.8983--80.4731),(27.8439--80.4415),(27.8325--80.4755),(27.8325--80.4911)","(27.8934,-80.5076)|(27.8983,-80.4731)|(27.8439,-80.4415)|(27.8325,-80.4755)|(27.8325,-80.4911)",False,"27.8934, 27.8983, 27.8439, 27.8325, 27.8325","-80.5076, -80.4731, -80.4415, -80.4755, -80.4911"
192,1875,07/26/2018,"Fluorescence / Rockledge, Florida, United States / 2017","Points:(28.3547--80.7258),(28.3558--80.7076),(28.2916--80.6807),(28.2911--80.6970),(28.3295--80.7150)","(28.3547,-80.7258)|(28.3558,-80.7076)|(28.2916,-80.6807)|(28.2911,-80.6970)|(28.3295,-80.7150)",False,"28.3547, 28.3558, 28.2916, 28.2911, 28.3295","-80.7258, -80.7076, -80.6807, -80.6970, -80.7150"
194,1877,07/26/2018,"Water Column Depth / Sebastian, Florida, United States / 2017 ","Points:(27.8934--80.5076),(27.8983--80.4731),(27.8439--80.4415),(27.8325--80.4755),(27.8551--80.4911)","(27.8934,-80.5076)|(27.8983,-80.4731)|(27.8439,-80.4415)|(27.8325,-80.4755)|(27.8551,-80.4911)",False,"27.8934, 27.8983, 27.8439, 27.8325, 27.8551","-80.5076, -80.4731, -80.4415, -80.4755, -80.4911"
206,1927,07/18/2018,"Pavement Provisions for Provential Highways / Ontario, Canada / 2014","Points:(56.5998--90.178),(55.7188--80.2464),(40.2655--78.979),(49.0905--95.0971),(52.0751--95.48)","(56.5998,-90.178)|(55.7188,-80.2464)|(40.2655,-78.979)|(49.0905,-95.0971)|(52.0751,-95.48)",False,"56.5998, 55.7188, 40.2655, 49.0905, 52.0751","-90.178, -80.2464, -78.979, -95.0971, -95.48"
207,1936,07/17/2018,"Vehicle Counts in Congestion Charge Zone by Month / London, England","Points:(51.519548--0.165338),(51.531636--0.106055),(51.511306--0.075132),(51.495013--0.086064),(51.486402--0.122034)","(51.519548,-0.165338)|(51.531636,-0.106055)|(51.511306,-0.075132)|(51.495013,-0.086064)|(51.486402,-0.122034)",False,"51.519548, 51.531636, 51.511306, 51.495013, 51.486402","-0.165338, -0.106055, -0.075132, -0.086064, -0.122034"
208,1949,07/16/2018,"Induction Loop Generated Hourly Vehicle Counts / Utah Statewide, United States / 1997","Points:(41.9936--114.0418),(42.0027--111.0485),(41.0136--109.0518),(36.9944-109--109.0518),(37.0017--114.0615)","(41.9936,-114.0418)|(42.0027,-111.0485)|(41.0136,-109.0518)|(36.9944-109,-109.0518)|(37.0017,-114.0615)",False,"41.9936, 42.0027, 41.0136, 36.9944-109, 37.0017","-114.0418, -111.0485, -109.0518, -109.0518, -114.0615"
