date,name,lat,lon,optrad
"12/06/2019","Particulate Matter 10 / Londonderry, Northern Ireland, United Kingdom / 2016",55.002818,-7.331179,0
"12/06/2019","Precipitation / Yellow River, Hogansville, Georgia, United States / 2014",33.139806,-84.9754,0
"12/06/2019","Precipitation / Etowah River, Landrum, Georgia, United States / 2014",34.409083,-84.0198,0
"12/06/2019","Precipitation / Etowah River, Dawsonville, Georgia, United States / 2014",34.358056,-84.1133,0
"12/06/2019","Precipitation / Etowah River, Matt, Georgia, United States / 2014",34.35222,-84.2064,0
"12/06/2019","Precipitation / Etowah River, Canton, Georgia, United States / 2014",34.25083,-84.4692,0
"12/06/2019","Precipitation / Etowah River, Cartersville, Georgia, United States / 2014",34.14277,-84.8389,0
"12/06/2019","Precipitation / Flint River, Lovejoy, Georgia, United States / 2015",33.415556,-84.384722,0000.0000
"12/06/2019","Precipitation / Flint River, Woolsey, Georgia, United States / 2014",33.35972,-84.3944,0
"12/05/2019","Wind Speed / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2015",23.757547,120.348742,0
"12/05/2019","Wind Speed / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2014",23.757547,120.348742,0
"12/05/2019","Wind Speed / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2016",23.757547,120.348742,0
"12/05/2019","Wind Speed / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2017",23.757547,120.348742,0
"12/05/2019","Wind Speed / Douliu City, Yunlin County, Taiwan-Chinese Taipei / 2014",23.711853,120.544994,0
"12/05/2019","Wind Speed / Douliu City, Yunlin County, Taiwan-Chinese Taipei / 2017",23.711853,120.544994,0
"12/05/2019","Wind Speed / Douliu City, Yunlin County, Taiwan-Chinese Taipei / 2016",23.711853,120.544994,0
"12/05/2019","Wind Speed / Douliu City, Yunlin County, Taiwan-Chinese Taipei / 2015",23.711853,120.544994,0
"12/05/2019","Wind Direction / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2014",23.757547,120.348742,0
"12/05/2019","Wind Direction / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2017",23.757547,120.348742,0
"12/05/2019","Wind Direction / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2016",23.757547,120.348742,0
"12/05/2019","Wind Direction / Lunbei Township, Yunlin County, Taiwan-Chinese Taipei / 2015",23.757547,120.348742,0
"12/05/2019","Wind Direction / Douliu City, Yunlin County, Taiwan-Chinese Taipei / 2017",23.711853,120.544994,0
